"","old_code","old_scientificName","old_UpdateStatus","Alternative.scientific.name","new_code","new_UpdateStatus"
"512","6064","Neogobius syrman","Deletion","Ponticola syrman","not found in Natura2000 List","not available"
"513","1683","Nepeta dirphya","Deletion","Nepeta argolica subsp. dirphya","6283","Remains"
"514","5984","Noemacheilus barbatulus","Deletion","Barbatula barbatula","not found in Natura2000 List","not available"
"515","5765","Nyctalus noctua","Deletion","Nyctalus noctula","1312","Remains"
"516","1709","Odontites granatensis","Deletion","Odontites viscosus subsp. granatensis","7025","Addition"
"517","5768","Oncorhynchus mykiss","Deletion","Salmo gairdneri","not found in Natura2000 List","not available"
"518","6231","Ononis maweana","Deletion","Ononis hackelii","1549","Remains"
"519","6272","Ophiogomphus serpentinus","Deletion","Ophiogomphus cecilia","1037","Remains"
"520","1904","Ophrys argolica","Deletion","Ophrys argolica subsp. argolica","7002","Addition"
"521","2329","Ophrys kotschyi","Deletion","Ophrys kotschyi subsp. kotschyi","7009","Addition"
"522","5994","Orsinigobius punctatissimus","Deletion","Knipowitschia punctatissima","not found in Natura2000 List","not available"
"523","5985","Orthrias barbatulus","Deletion","Barbatula barbatula","not found in Natura2000 List","not available"
"524","6142","Ovis ammon musimon","Deletion","Ovis aries musimon","6959","Addition"
"525","6142","Ovis ammon musimon","Deletion","Ovis gmelini musimon","not found in Natura2000 List","not available"
"526","5775","Ovis aries","Deletion","Ovis musimon","not found in Natura2000 List","not available"
"527","5775","Ovis aries","Deletion","Ovis orientalis","not found in Natura2000 List","not available"
"528","1373","Ovis gmelini musimon","Deletion","Ovis aries musimon","6959","Addition"
"529","1373","Ovis gmelini musimon","Deletion","Ovis ammon musimon","not found in Natura2000 List","not available"
"530","6251","Ovis gmelini ophion","Deletion","Ovis orientalis ophion","4005","Remains"
"531","6002","Ovis musimon","Deletion","Ovis aries","not found in Natura2000 List","not available"
"532","6001","Ovis orientalis","Deletion","Ovis aries","not found in Natura2000 List","not available"
"533","5776","Oxynoemacheilus bureschi","Deletion","Barbatula bureschi","not found in Natura2000 List","not available"
"534","5958","Pagrus pagrus","Deletion","Sparus pargus","not found in Natura2000 List","not available"
"535","1964","Papaver laestadianum","Deletion","Papaver radicatum subsp. laestadianum","not found in Natura2000 List","not available"
"536","1965","Papaver radicatum subsp. hyperboreum","Deletion","Papaver radicatum subsp. radicatum","6953","Addition"
"537","5923","Parablennius incognitus","Deletion","Blennius incognitus","not found in Natura2000 List","not available"
"538","5922","Parablennius rouxi","Deletion","Blenius rouxi","not found in Natura2000 List","not available"
"539","5957","Pegusa nasuta","Deletion","Solea nasuta","not found in Natura2000 List","not available"
"540","1602","Petagnia saniculifolia","Deletion","Petagnaea gussonei","6950","Addition"
"541","5784","Petroleuciscus borysthenicus","Deletion","Leuciscus borysthenicus","not found in Natura2000 List","not available"
"542","1817","Phagnalon benettii","Deletion","Phagnalon saxatile","6234","Remains"
"543","1817","Phagnalon benettii","Deletion","Phagnalon hansenii","not found in Natura2000 List","not available"
"544","6235","Phagnalon hansenii","Deletion","Phagnalon saxatile","6234","Remains"
"545","6235","Phagnalon hansenii","Deletion","Phagnalon benettii","not found in Natura2000 List","not available"
"546","6265","Phengaris arion","Deletion","Maculinea arion","1058","Remains"
"547","6179","Phengaris nausithous","Deletion","Maculinea nausithous","1061","Remains"
"548","6177","Phengaris teleius","Deletion","Maculinea teleius","1059","Remains"
"549","5018","Phoca groenlandica","Deletion","Pagophilus groenlandicus","2639","Remains"
"550","2640","Phoca hispida","Deletion","Pusa hispida","6305","Remains"
"551","1938","Phoca hispida botnica","Deletion","Phoca hispida bottnica","not found in Natura2000 List","not available"
"552","1938","Phoca hispida botnica","Deletion","Pusa hispida botnica","6307","Remains"
"553","2641","Phoca hispida ladogensis","Deletion","Pusa hispida ladogensis","not found in Natura2000 List","not available"
"554","1913","Phoca hispida saimensis","Deletion","Pusa hispida saimensis","6306","Remains"
"555","5098","Phoxinellus epiroticus","Deletion","Pelasgus epiroticus","6263","Remains"
"556","5100","Phoxinellus prespensis","Deletion","Pelasgus prespensis","6264","Remains"
"557","2525","Phoxinellus stymphalicus","Deletion","Pseudophoxinus stymphalicus","not found in Natura2000 List","not available"
"558","2525","Phoxinellus stymphalicus","Deletion","Pelasgus stymphalicus","5333","Remains"
"559","4009","Phoxinus percnurus","Deletion","Rhynchocypris percnurus","6236","Remains"
"560","4009","Phoxinus percnurus","Deletion","Phoxinus perenurus","not found in Natura2000 List","not available"
"561","6237","Phoxinus perenurus","Deletion","Rhynchocypris percnurus","6236","Remains"
"562","6237","Phoxinus perenurus","Deletion","Phoxinus percnurus","not found in Natura2000 List","not available"
"563","1229","Phyllodactylus europaeus","Deletion","Euleptes europaea","6137","Remains"
"564","5031","Physeter catodon","Deletion","Physeter macrocephalus","2624","Remains"
"565","1311","Pipistrellus savii","Deletion","Hypsugo savii","5365","Remains"
"566","1311","Pipistrellus savii","Deletion","Vespertilio savii","not found in Natura2000 List","not available"
"567","1063","Plebicula golgus","Deletion","Polyommatus golgus","7018","Addition"
"568","1266","Podarcis hispanica atrata","Deletion","Podarcis liolepis atrata","6946","Addition"
"569","5796","Podarcis raffonei antoninoi","Deletion","Podarcis raffonei","not found in Natura2000 List","not available"
"570","5797","Podarcis raffonei raffonei","Deletion","Podarcis raffonei","not found in Natura2000 List","not available"
"571","6080","Podarcis wagleriana wagleriana","Deletion","Podarcis wagleriana","not found in Natura2000 List","not available"
"572","6080","Podarcis wagleriana wagleriana","Deletion","Podarcis waglerianus","1244","Remains"
"573","6256","Polygonum foliosum","Deletion","Persicaria foliosa","1966","Remains"
"574","6006","Pomatomus saltamus","Deletion","Pomatomus saltatrix","not found in Natura2000 List","not available"
"575","6005","Pomatomus saltator","Deletion","Pomatomus saltatrix","not found in Natura2000 List","not available"
"576","5802","Pomatomus saltatrix","Deletion","Pomatomus saltamus","not found in Natura2000 List","not available"
"577","5802","Pomatomus saltatrix","Deletion","Pomatomus saltator","not found in Natura2000 List","not available"
"578","5950","Ponticola eurycephalus","Deletion","Neogobius platyrostris","not found in Natura2000 List","not available"
"579","5949","Ponticola gorlap","Deletion","Neogobius kessleri","not found in Natura2000 List","not available"
"580","5951","Ponticola ratan","Deletion","Neogobius ratan","not found in Natura2000 List","not available"
"581","5952","Ponticola syrman","Deletion","Neogobius syrman","not found in Natura2000 List","not available"
"582","1626","Primula spectabilis","Deletion","Primula polliniana","7010","Addition"
"583","4023","Propomacrus cypriacus","Deletion","Propomacrus bimucronatus cypriacus","7032","Addition"
"584","1540","Prunus lusitanica subsp. azorica","Deletion","Prunus azorica","7001","Addition"
"585","5953","Psetta maeotica","Deletion","Psetta maxima maeotica","not found in Natura2000 List","not available"
"586","5806","Psetta maxima","Deletion","Scophthalmus maximus","not found in Natura2000 List","not available"
"587","6065","Psetta maxima maeotica","Deletion","Psetta maeotica","not found in Natura2000 List","not available"
"588","6066","Pseudolepidaplois scrofa","Deletion","Bodianus scrofa","not found in Natura2000 List","not available"
"589","2527","Pseudophoxinus stymphalicus","Deletion","Phoxinellus stymphalicus","not found in Natura2000 List","not available"
"590","2527","Pseudophoxinus stymphalicus","Deletion","Pelasgus stymphalicus","5333","Remains"
"591","6085","Pseudopus apodus","Deletion","Ophisaurus apodus","1269","Remains"
"592","6238","Puccinellia fasciculata subsp. pungens","Deletion","Puccinellia pungens","1889","Remains"
"593","6185","Pulsatilla halleri subsp. slavica","Deletion","Anemone slavica","not found in Natura2000 List","not available"
"594","6185","Pulsatilla halleri subsp. slavica","Deletion","Pulsatilla slavica","2094","Remains"
"595","6184","Pulsatilla vulgaris subsp. grandis","Deletion","Pulsatilla grandis","2093","Remains"
"596","6308","Pusa hispida ladogensis","Deletion","Phoca hispida ladogensis","not found in Natura2000 List","not available"
"597","6103","Putoris putoris","Deletion","Mustela putorius","1358","Remains"
"598","6141","Putorius eversmani","Deletion","Mustela eversmanii","2633","Remains"
"599","5360","Rana bedriagae","Deletion","Pelophylax bedriagae","6990","Addition"
"600","5362","Rana cerigensis","Deletion","Pelophylax cerigensis","6992","Addition"
"601","5361","Rana cretensis","Deletion","Pelophylax cretensis","6991","Addition"
"602","1210","Rana esculenta","Deletion","Pelophylax esculentus","6976","Addition"
"603","5363","Rana kurtmuelleri","Deletion","Pelophylax kurtmuelleri","6954","Addition"
"604","1207","Rana lessonae","Deletion","Pelophylax lessonae","6981","Addition"
"605","1211","Rana perezi","Deletion","Pelophylax perezi","6945","Addition"
"606","1212","Rana ridibunda","Deletion","Pelophylax ridibundus","6938","Addition"
"607","6221","Rhaponticum centauroides","Deletion","Stemmacantha cynaroides","not found in Natura2000 List","not available"
"608","6221","Rhaponticum centauroides","Deletion","Leuzea centauroides","not found in Natura2000 List","not available"
"609","6221","Rhaponticum centauroides","Deletion","Rhaponticum canariense","7031","Addition"
"610","6314","Rhodeus amarus meridionalis","Deletion","Rhodeus meridionalis","5340","Remains"
"611","6250","Rupicapra rupicapra ornata","Deletion","Rupicapra pyrenaica ornata","1374","Remains"
"612","1123","Rutilus alburnoides","Deletion","Squalius alburnoides","6975","Addition"
"613","1123","Rutilus alburnoides","Deletion","Tropidophoxinellus alburnoides","not found in Natura2000 List","not available"
"614","1127","Rutilus arcasii","Deletion","Achondrostoma arcasii","6155","Remains"
"615","5821","Rutilus aula","Deletion","Rutilus erythrophthalmus","not found in Natura2000 List","not available"
"616","6008","Rutilus erythrophthalmus","Deletion","Rutilus aula","not found in Natura2000 List","not available"
"617","1139","Rutilus frisii meidingeri","Deletion","Rutilus meidingeri","6146","Remains"
"618","6075","Rutilus pigus virgo","Deletion","Rutilus virgo","5345","Remains"
"619","5967","Sabanejewia aurata bulgarica","Deletion","Sabanejewia bulgarica","5347","Remains"
"620","6253","Salamandra luschani","Deletion","Mertensiella luschani","1176","Remains"
"621","5825","Salaria fluviatilis","Deletion","Blennius fluviatilis","not found in Natura2000 List","not available"
"622","5826","Salaria pavo","Deletion","Lipophrys pavo","not found in Natura2000 List","not available"
"623","6000","Salmo gairdneri","Deletion","Oncorhynchus mykiss","not found in Natura2000 List","not available"
"624","5829","Salmo labrax","Deletion","Salmo trutta labrax","not found in Natura2000 List","not available"
"625","6074","Salmo salar sebago","Deletion","Salmo salar","1106","Remains"
"626","5830","Salmo trutta","Deletion","Salmo trutta trutta","not found in Natura2000 List","not available"
"627","6011","Salmo trutta labrax","Deletion","Salmo labrax","not found in Natura2000 List","not available"
"628","6262","Salmo trutta trutta","Deletion","Salmo trutta","not found in Natura2000 List","not available"
"629","6067","Salvelinus salvelinus","Deletion","Salvelinus umbla","not found in Natura2000 List","not available"
"630","5955","Salvelinus umbla","Deletion","Salvelinus salvelinus","not found in Natura2000 List","not available"
"631","1745","Sambucus palmensis","Deletion","Sambucus nigra subsp. palmensis","6294","Remains"
"632","5834","Sander lucioperca","Deletion","Lucioperca lucioperca","not found in Natura2000 List","not available"
"633","5834","Sander lucioperca","Deletion","Lucioperca sandra","not found in Natura2000 List","not available"
"634","5834","Sander lucioperca","Deletion","Stizostedion lucioperca","not found in Natura2000 List","not available"
"635","5835","Sander volgensis","Deletion","Ztizostedion volgense","not found in Natura2000 List","not available"
"636","1394","Scapania massalongii","Deletion","Scapania carinthiaca","6166","Remains"
"637","5838","Scardinius erythrophthalmus","Deletion","Scardinius racovitzai","not found in Natura2000 List","not available"
"638","6016","Scardinius racovitzai","Deletion","Scardinius erythrophthalmus","not found in Natura2000 List","not available"
"639","6160","Scilla lochiae","Deletion","Chionodoxa luciliae","not found in Natura2000 List","not available"
"640","6160","Scilla lochiae","Deletion","Chionodoxa lochiae","2283","Remains"
"641","6112","Sciuropterus russicus","Deletion","Pteromys volans","1910","Remains"
"642","2607","Sciurus vulgaris","Deletion","Sciurus vulgaris linnaeus","not found in Natura2000 List","not available"
"643","6131","Sciurus vulgaris linnaeus","Deletion","Sciurus vulgaris","not found in Natura2000 List","not available"
"644","6007","Scophthalmus maximus","Deletion","Psetta maxima","not found in Natura2000 List","not available"
"645","6068","Scorpaena maderensis","Deletion","Scorpaena madurensis","not found in Natura2000 List","not available"
"646","5956","Scorpaena madurensis","Deletion","Scorpaena maderensis","not found in Natura2000 List","not available"
"647","1708","Scrophularia grandiflora subsp. grandiflora","Deletion","Scrophularia grandiflora","6983","Addition"
"648","6239","Semele androgyna var. androgyna","Deletion","Semele androgyna","not found in Natura2000 List","not available"
"649","6239","Semele androgyna var. androgyna","Deletion","Semele maderensis ","not found in Natura2000 List","not available"
"650","1804","Senecio elodes","Deletion","Tephroseris elodes","7022","Addition"
"651","1974","Senecio jacobaea subsp. gotlandicus","Deletion","Jacobaea vulgaris subsp. gotlandica","6288","Remains"
