"","old_code","old_scientificName","old_UpdateStatus","ScientificNameAuthorCoL","TaxonomicStatus","new_canonicalName","new_authorship","new_code","new_scientificName","new_UpdateStatus","ruleApplied","new_classification"
"888","5751","Myrichthys pardalis","Deletion","Myrichthys pardalis (Valenciennes, 1839)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"889","5752","Nannospalax leucodon","Deletion","Spalax leucodon Nordmann, 1840","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"890","6172","Narcissus assoanus subsp. praelongus","Deletion","Narcissus assoanus subsp. praelongus Barra & G.López","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"891","1859","Narcissus humilis","Deletion","Narcissus cavanillesii Barra & G.López","Ambiguous","not available","not available","not found in Natura2000 List","not available","not available","Ambiguous - not available","not available"
"892","6277","Narcissus jonquilla subsp. fernandesii","Deletion","Narcissus fernandesii Pedro","Synonym","Narcissus fernandesii","(Pedro) Zonn.","1860","Narcissus fernandesii","Remains","Synonym - Remains","SPECIES:Narcissus fernandesii Pedro|GENUS:Narcissus L.|FAMILY:Amaryllidaceae|ORDER:Asparagales|CLASS:Liliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota"
"893","5192","Narcissus juncifolius","Deletion","Narcissus assoanus subsp. assoanus","Ambiguous","not available","not available","not found in Natura2000 List","not available","not available","Ambiguous - not available","not available"
"894","1867","Narcissus longispathus","Deletion","Narcissus nevadensis subsp. longispathus (Degen & Hervier ex Pugsley) Algarra, Blanca, Cueto & J.Fuentes","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"895","6230","Narcissus pseudonarcissus subsp. nevadensis","Deletion","Narcissus nevadensis Pugsley","Synonym","Narcissus nevadensis","(Pugsley) A.Fern.","1858","Narcissus nevadensis","Remains","Synonym - Remains","SPECIES:Narcissus nevadensis Pugsley|GENUS:Narcissus L.|FAMILY:Amaryllidaceae|ORDER:Asparagales|CLASS:Liliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota"
"896","2467","Natrix maura","Deletion","Natrix maura (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"897","2469","Natrix natrix","Deletion","Natrix natrix (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"898","5753","Natrix natrix cettii","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"899","5754","Natrix natrix helvetica","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"900","5755","Natrix natrix persa","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"901","5756","Natrix natrix sicula","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"902","5757","Natrix sp.","Deletion","Natrix","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"903","5758","Neogobius fluviatilis","Deletion","Neogobius fluviatilis (Pallas, 1814)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"904","6060","Neogobius gymnotrachelus","Deletion","Babka gymnotrachelus (Kessler, 1857)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
