"providedScientificName","matchRemark","taxonId","acceptedTaxonId","parentTaxonId","scientificName","canonicalName","authorship","status","acceptedScientificName","classification","kingdom","phylum","class","order","family","genus"
"Cobitis larvata","","WJZ4","6WZ2K","6WZ2K","Cobitis larvata De Filippi, 1859","Cobitis larvata","De Filippi, 1859","synonym","Sabanejewia larvata (De Filippi, 1859)","SPECIES:Sabanejewia larvata (De Filippi, 1859)|GENUS:Sabanejewia|FAMILY:Cobitidae|ORDER:Cypriniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Cypriniformes","Cobitidae","Sabanejewia"
"Cobitis pontica","","WK32","WK32","C9G7K","Cobitis pontica Vasil'eva & Vasil'ev, 2006","Cobitis pontica","Vasil'eva & Vasil'ev, 2006","accepted","Cobitis pontica Vasil'eva & Vasil'ev, 2006","GENUS:Cobitis|FAMILY:Cobitidae|ORDER:Cypriniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Cypriniformes","Cobitidae","Cobitis"
"Cobitis taenia taenia","","5GJBG","WK47","WK47","Cobitis taenia taenia Linnaeus, 1758","Cobitis taenia taenia","Linnaeus, 1758","synonym","Cobitis taenia Linnaeus, 1758","SPECIES:Cobitis taenia Linnaeus, 1758|GENUS:Cobitis|FAMILY:Cobitidae|ORDER:Cypriniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Cypriniformes","Cobitidae","Cobitis"
"Cobitis tanaitica","","5ZFZY","5ZFZY","C9G7K","Cobitis tanaitica Băcescu & Mayer, 1969","Cobitis tanaitica","Băcescu & Mayer, 1969","accepted","Cobitis tanaitica Băcescu & Mayer, 1969","GENUS:Cobitis|FAMILY:Cobitidae|ORDER:Cypriniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Cypriniformes","Cobitidae","Cobitis"
"Coelorhynchus coelorhynchus","","WSMS","WSRH","WSRH","Coelorhynchus coelorhynchus (Risso, 1810)","Coelorhynchus coelorhynchus","(Risso, 1810)","synonym","Coelorinchus caelorhincus (Risso, 1810)","SPECIES:Coelorinchus caelorhincus (Risso, 1810)|GENUS:Coelorinchus|FAMILY:Macrouridae|ORDER:Gadiformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Coelorinchus"
"Coelorinchus caelorhincus caelorhincus","","","","","","","","","","","","","","","",""
"Coincya cintrana","","WWL5","7JMSB","7JMSB","Coincya cintrana (Cout.) P. Silva","Coincya cintrana","(Cout.) P. Silva","synonym","Coincya monensis subsp. cheiranthos (Vill.) Aedo, Leadlay & J. Muñoz Garm.","SUBSPECIES:Coincya monensis subsp. cheiranthos (Vill.) Aedo, Leadlay & J. Muñoz Garm.|SPECIES:Coincya monensis (L.) Greuter & Burdet|GENUS:Coincya Porta & Rigo ex Rouy|SUBFAMILY:Brassicoideae Prantl & Karl|FAMILY:Brassicaceae Burnett|ORDER:Brassicales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Magnoliopsida","Brassicales Bromhead","Brassicaceae Burnett","Coincya Porta & Rigo ex Rouy"
"Colchicum cupanii subsp. cupanii","","7JN54","7JN54","WXBL","Colchicum cupanii subsp. cupanii","Colchicum cupanii subsp. cupanii","","accepted","Colchicum cupanii subsp. cupanii","SPECIES:Colchicum cupanii Guss.|GENUS:Colchicum L.|FAMILY:Colchicaceae|ORDER:Liliales|CLASS:Liliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum L."
"Colchicum neapolitanum","","WXF3","WXF3","8VWDM","Colchicum neapolitanum (Ten.) Ten.","Colchicum neapolitanum","(Ten.) Ten.","accepted","Colchicum neapolitanum (Ten.) Ten.","GENUS:Colchicum L.|FAMILY:Colchicaceae|ORDER:Liliales|CLASS:Liliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum L."
"Coluber caspius","","5ZP2C","375Z5","375Z5","Coluber caspius Gmelin in Linnaeus, 1789","Coluber caspius","Gmelin in Linnaeus, 1789","ambiguous synonym","Dolichophis caspius (Gmelin, 1789)","SPECIES:Dolichophis caspius (Gmelin, 1789)|GENUS:Dolichophis|SUBFAMILY:Colubrinae|FAMILY:Colubridae|SUPERFAMILY:Colubroidea|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Colubridae","Dolichophis"
"Coluber cypriensis","","87ZJT","88CFF","88CFF","Coluber cypriensis Schätti, 1985","Coluber cypriensis","Schätti, 1985","synonym","Hierophis cypriensis (Schätti, 1985)","SPECIES:Hierophis cypriensis (Schätti, 1985)|GENUS:Hierophis|SUBFAMILY:Colubrinae|FAMILY:Colubridae|SUPERFAMILY:Colubroidea|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Colubridae","Hierophis"
"Coluber gemonensis","","","","","","","","","","","","","","","",""
"Coluber hippocrepis","","5ZQDH","3KTY6","3KTY6","Coluber hippocrepis Linnaeus, 1758","Coluber hippocrepis","Linnaeus, 1758","synonym","Hemorrhois hippocrepis (Linnaeus, 1758)","SPECIES:Hemorrhois hippocrepis (Linnaeus, 1758)|GENUS:Hemorrhois|SUBFAMILY:Colubrinae|FAMILY:Colubridae|SUPERFAMILY:Colubroidea|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Colubridae","Hemorrhois"
"Coluber hippocrepis nigrescens","","C6QTM","3KTY6","3KTY6","Coluber hippocrepis nigrescens Cattaneo, 1985","Coluber hippocrepis nigrescens","Cattaneo, 1985","synonym","Hemorrhois hippocrepis (Linnaeus, 1758)","SPECIES:Hemorrhois hippocrepis (Linnaeus, 1758)|GENUS:Hemorrhois|SUBFAMILY:Colubrinae|FAMILY:Colubridae|SUPERFAMILY:Colubroidea|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Colubridae","Hemorrhois"
"Coluber jugularis","","5ZQF6","375Z8","375Z8","Coluber jugularis Linnaeus, 1758","Coluber jugularis","Linnaeus, 1758","synonym","Dolichophis jugularis (Linnaeus, 1758)","SPECIES:Dolichophis jugularis (Linnaeus, 1758)|GENUS:Dolichophis|SUBFAMILY:Colubrinae|FAMILY:Colubridae|SUPERFAMILY:Colubroidea|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Colubridae","Dolichophis"
"Coluber laurenti","","5ZQFV","3LVTK","3LVTK","Coluber laurenti Bedriaga, 1882","Coluber laurenti","Bedriaga, 1882","synonym","Hierophis gemonensis (Laurenti, 1768)","SPECIES:Hierophis gemonensis (Laurenti, 1768)|GENUS:Hierophis|SUBFAMILY:Colubrinae|FAMILY:Colubridae|SUPERFAMILY:Colubroidea|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Colubridae","Hierophis"
"Coluber najadum","","","","","","","","","","","","","","","",""
"Coluber nummifer","","XB3J","3KTY7","3KTY7","Coluber nummifer Reuss, 1834","Coluber nummifer","Reuss, 1834","synonym","Hemorrhois nummifer (Reuss, 1834)","SPECIES:Hemorrhois nummifer (Reuss, 1834)|GENUS:Hemorrhois|SUBFAMILY:Colubrinae|FAMILY:Colubridae|SUPERFAMILY:Colubroidea|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Colubridae","Hemorrhois"
"Coluber viridiflavus","","","","","","","","","","","","","","","",""
"Coluber viridiflavus carbonarius","","","","","","","","","","","","","","","",""
"Conger conger","","XLH2","XLH2","C9F7Q","Conger conger (Linnaeus, 1758)","Conger conger","(Linnaeus, 1758)","accepted","Conger conger (Linnaeus, 1758)","GENUS:Conger|FAMILY:Congridae|ORDER:Anguilliformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Anguilliformes","Congridae","Conger"
"Coregonus arenicolus","","YD84","YD84","C9C9K","Coregonus arenicolus Kottelat, 1997","Coregonus arenicolus","Kottelat, 1997","accepted","Coregonus arenicolus Kottelat, 1997","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus atterensis","","6B29R","6B29R","C9C9K","Coregonus atterensis Kottelat, 1997","Coregonus atterensis","Kottelat, 1997","accepted","Coregonus atterensis Kottelat, 1997","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus austriacus","","YD8B","YD8B","C9C9K","Coregonus austriacus Vogt, 1909","Coregonus austriacus","Vogt, 1909","accepted","Coregonus austriacus Vogt, 1909","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus autumnalis","","YD8D","YD8D","C9C9K","Coregonus autumnalis (Pallas, 1776)","Coregonus autumnalis","(Pallas, 1776)","accepted","Coregonus autumnalis (Pallas, 1776)","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus autumnalis autumnalis","","5GLXT","YD8D","YD8D","Coregonus autumnalis autumnalis (Pallas, 1776)","Coregonus autumnalis autumnalis","(Pallas, 1776)","synonym","Coregonus autumnalis (Pallas, 1776)","SPECIES:Coregonus autumnalis (Pallas, 1776)|GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus autumnalis pollan","","5GLXW","YDB9","YDB9","Coregonus autumnalis pollan Thompson, 1835","Coregonus autumnalis pollan","Thompson, 1835","synonym","Coregonus pollan Thompson, 1835","SPECIES:Coregonus pollan Thompson, 1835|GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus bezola","","YD8M","YD8M","C9C9K","Coregonus bezola Fatio, 1888","Coregonus bezola","Fatio, 1888","accepted","Coregonus bezola Fatio, 1888","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus candidus","","YD8R","YD8R","C9C9K","Coregonus candidus Goll, 1883","Coregonus candidus","Goll, 1883","accepted","Coregonus candidus Goll, 1883","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus clupeoides","","YD8X","YD8X","C9C9K","Coregonus clupeoides Lacepède, 1803","Coregonus clupeoides","Lacepède, 1803","accepted","Coregonus clupeoides Lacepède, 1803","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus danneri","","YD95","YD95","C9C9K","Coregonus danneri Vogt, 1908","Coregonus danneri","Vogt, 1908","accepted","Coregonus danneri Vogt, 1908","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus duplex","","YD97","YD97","C9C9K","Coregonus duplex Fatio, 1890","Coregonus duplex","Fatio, 1890","accepted","Coregonus duplex Fatio, 1890","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus fera","","YD9D","YD9D","C9C9K","Coregonus fera Jurine, 1825","Coregonus fera","Jurine, 1825","accepted","Coregonus fera Jurine, 1825","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus gutturosus","","YD9J","YD9J","C9C9K","Coregonus gutturosus (Gmelin, 1818)","Coregonus gutturosus","(Gmelin, 1818)","accepted","Coregonus gutturosus (Gmelin, 1818)","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus hiemalis","","YD9M","YD9M","C9C9K","Coregonus hiemalis Jurine, 1825","Coregonus hiemalis","Jurine, 1825","accepted","Coregonus hiemalis Jurine, 1825","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus hoferi","","YD9N","YD9N","C9C9K","Coregonus hoferi Berg, 1932","Coregonus hoferi","Berg, 1932","accepted","Coregonus hoferi Berg, 1932","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus kiletz","","YD9W","YD9W","C9C9K","Coregonus kiletz Michailovsky, 1903","Coregonus kiletz","Michailovsky, 1903","accepted","Coregonus kiletz Michailovsky, 1903","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus lavaretus","","6B298","6B298","C9C9K","Coregonus lavaretus (Linnaeus, 1758)","Coregonus lavaretus","(Linnaeus, 1758)","accepted","Coregonus lavaretus (Linnaeus, 1758)","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus macrophthalmus","","6B295","6B295","C9C9K","Coregonus macrophthalmus Nüsslin, 1882","Coregonus macrophthalmus","Nüsslin, 1882","accepted","Coregonus macrophthalmus Nüsslin, 1882","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus maraena","","6B28S","6B28S","C9C9K","Coregonus maraena (Bloch, 1779)","Coregonus maraena","(Bloch, 1779)","accepted","Coregonus maraena (Bloch, 1779)","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus maraenoides","","6B294","6B294","C9C9K","Coregonus maraenoides Berg, 1916","Coregonus maraenoides","Berg, 1916","accepted","Coregonus maraenoides Berg, 1916","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus maxillaris","","6B28R","6B28R","C9C9K","Coregonus maxillaris Günther, 1866","Coregonus maxillaris","Günther, 1866","accepted","Coregonus maxillaris Günther, 1866","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus megalops","","6B293","6B293","C9C9K","Coregonus megalops Widegren, 1863","Coregonus megalops","Widegren, 1863","accepted","Coregonus megalops Widegren, 1863","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus muksun","","6B29X","6B29X","C9C9K","Coregonus muksun (Pallas, 1814)","Coregonus muksun","(Pallas, 1814)","accepted","Coregonus muksun (Pallas, 1814)","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus nasus","","6B29W","6B29W","C9C9K","Coregonus nasus (Pallas, 1776)","Coregonus nasus","(Pallas, 1776)","accepted","Coregonus nasus (Pallas, 1776)","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus nilssoni","","6B3PG","6B3PG","C9C9K","Coregonus nilssoni Valenciennes, 1848","Coregonus nilssoni","Valenciennes, 1848","accepted","Coregonus nilssoni Valenciennes, 1848","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus pallasii","","YDB4","YDB4","C9C9K","Coregonus pallasii Valenciennes, 1848","Coregonus pallasii","Valenciennes, 1848","accepted","Coregonus pallasii Valenciennes, 1848","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus peled","","YDB5","YDB5","C9C9K","Coregonus peled (Gmelin, 1789)","Coregonus peled","(Gmelin, 1789)","accepted","Coregonus peled (Gmelin, 1789)","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus pennantii","","YDB6","YDB6","C9C9K","Coregonus pennantii Valenciennes, 1848","Coregonus pennantii","Valenciennes, 1848","accepted","Coregonus pennantii Valenciennes, 1848","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus pidschian","","YDB7","YDB7","C9C9K","Coregonus pidschian (Gmelin, 1789)","Coregonus pidschian","(Gmelin, 1789)","accepted","Coregonus pidschian (Gmelin, 1789)","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus renke","","YDBG","YDBG","C9C9K","Coregonus renke (Schrank, 1783)","Coregonus renke","(Schrank, 1783)","accepted","Coregonus renke (Schrank, 1783)","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus stigmaticus","","YDBV","YDBV","C9C9K","Coregonus stigmaticus Regan, 1908","Coregonus stigmaticus","Regan, 1908","accepted","Coregonus stigmaticus Regan, 1908","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Coregonus vandesius","","YDC8","YDC8","C9C9K","Coregonus vandesius Richardson, 1836","Coregonus vandesius","Richardson, 1836","accepted","Coregonus vandesius Richardson, 1836","GENUS:Coregonus|FAMILY:Salmonidae|ORDER:Salmoniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
