"providedScientificName","matchRemark","taxonId","acceptedTaxonId","parentTaxonId","scientificName","canonicalName","authorship","status","acceptedScientificName","classification","kingdom","phylum","class","order","family","genus"
"Macrovipera lebetina","","72S8X","72S8X","CDKVM","Macrovipera lebetinus (Linnaeus, 1758)","Macrovipera lebetinus","(Linnaeus, 1758)","accepted","Macrovipera lebetinus (Linnaeus, 1758)","GENUS:Macrovipera|SUBFAMILY:Viperinae|FAMILY:Viperidae|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Viperidae","Macrovipera"
"Macrurus heterolepis","","733X8","3NJ92","3NJ92","Macrurus heterolepis () non Alcock, 1889","Macrurus heterolepis","()","misapplied","Hymenocephalus italicus Giglioli, 1884","SPECIES:Hymenocephalus italicus Giglioli, 1884|GENUS:Hymenocephalus|FAMILY:Macrouridae|ORDER:Gadiformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Hymenocephalus"
"Malacocephalus laevis","","3XKFR","3XKFR","CB9YB","Malacocephalus laevis (Lowe, 1843)","Malacocephalus laevis","(Lowe, 1843)","accepted","Malacocephalus laevis (Lowe, 1843)","GENUS:Malacocephalus|FAMILY:Macrouridae|ORDER:Gadiformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Malacocephalus"
"Malpolon monspessulanus","","3XQPW","3XQPW","CDLQ5","Malpolon monspessulanus (Hermann, 1804)","Malpolon monspessulanus","(Hermann, 1804)","accepted","Malpolon monspessulanus (Hermann, 1804)","GENUS:Malpolon|FAMILY:Psammophiidae|SUPERFAMILY:Elapoidea|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Psammophiidae","Malpolon"
"Mandragora autumnalis","","3XTKR","3XTL3","3XTL3","Mandragora autumnalis Bertol.","Mandragora autumnalis","Bertol.","synonym","Mandragora officinarum L.","SPECIES:Mandragora officinarum L.|GENUS:Mandragora L.|SUBFAMILY:Solanoideae Burnett|FAMILY:Solanaceae Juss.|ORDER:Solanales Juss. ex Bercht. & J. Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Magnoliopsida","Solanales Juss. ex Bercht. & J. Presl","Solanaceae Juss.","Mandragora L."
"Margaritifera durrovensis","","3Y44C","3Y44N","3Y44N","Margaritifera durrovensis R. A. Phillips, 1928","Margaritifera durrovensis","R. A. Phillips, 1928","synonym","Margaritifera margaritifera (Linnaeus, 1758)","SPECIES:Margaritifera margaritifera (Linnaeus, 1758)|GENUS:Margaritifera Schumacher, 1815|SUBFAMILY:Margaritiferinae J. Henderson, 1929 (1910)|FAMILY:Margaritiferidae J. Henderson, 1929 (1910)|SUPERFAMILY:Unionoidea Rafinesque, 1820|ORDER:Unionida Gray, 1854|SUBTERCLASS:Palaeoheterodonta Newell, 1965|INFRACLASS:Heteroconchia J. E. Gray, 1854|SUBCLASS:Autobranchia Grobben, 1894|CLASS:Bivalvia Linnaeus, 1758|PHYLUM:Mollusca|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Mollusca","Bivalvia Linnaeus, 1758","Unionida Gray, 1854","Margaritiferidae J. Henderson, 1929 (1910)","Margaritifera Schumacher, 1815"
"Marmota marmota","","7VSDP","7VSDP","8NRMQ","Marmota (Marmota) marmota (Linnaeus, 1758)","Marmota (Marmota) marmota","(Linnaeus, 1758)","accepted","Marmota (Marmota) marmota (Linnaeus, 1758)","SUBGENUS:Marmota Blumenbach, 1779|GENUS:Marmota Blumenbach, 1779|TRIBE:Marmotini Pocock, 1923|SUBFAMILY:Xerinae Osborn, 1910|FAMILY:Sciuridae Fischer de Waldheim, 1817|SUBORDER:Sciuromorpha Brandt, 1855|ORDER:Rodentia Bowdich, 1821|INFRACLASS:Eutheria Gill, 1872|SUBCLASS:Theria Parker & Haswell, 1897|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1821","Sciuridae Fischer de Waldheim, 1817","Marmota Blumenbach, 1779"
"Marmota marmota marmota","","5JJRL","5JJRL","7VSDP","Marmota marmota marmota (Linnaeus, 1758)","Marmota marmota marmota","(Linnaeus, 1758)","accepted","Marmota marmota marmota (Linnaeus, 1758)","SPECIES:Marmota (Marmota) marmota (Linnaeus, 1758)|SUBGENUS:Marmota Blumenbach, 1779|GENUS:Marmota Blumenbach, 1779|TRIBE:Marmotini Pocock, 1923|SUBFAMILY:Xerinae Osborn, 1910|FAMILY:Sciuridae Fischer de Waldheim, 1817|SUBORDER:Sciuromorpha Brandt, 1855|ORDER:Rodentia Bowdich, 1821|INFRACLASS:Eutheria Gill, 1872|SUBCLASS:Theria Parker & Haswell, 1897|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1821","Sciuridae Fischer de Waldheim, 1817","Marmota Blumenbach, 1779"
"Marsilea azorica","","BBX7N","B9THW","B9THW","Marsilea azorica Launert & Paiva","Marsilea azorica","Launert & Paiva","synonym","Marsilea hirsuta R. Br.","SPECIES:Marsilea hirsuta R. Br.|GENUS:Marsilea L.|FAMILY:Marsileaceae Mirb.|ORDER:Salviniales Bartl.|CLASS:Polypodiopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Polypodiopsida","Salviniales Bartl.","Marsileaceae Mirb.","Marsilea L."
"Martes foina","","3Y9VW","3Y9VW","5LMD","Martes foina (Erxleben, 1777)","Martes foina","(Erxleben, 1777)","accepted","Martes foina (Erxleben, 1777)","GENUS:Martes Pinel, 1792|SUBFAMILY:Guloninae Gray, 1825|FAMILY:Mustelidae G. Fischer von Waldheim, 1817|SUBORDER:Caniformia Kretzoi, 1938|ORDER:Carnivora Bowdich, 1821|INFRACLASS:Eutheria Gill, 1872|SUBCLASS:Theria Parker & Haswell, 1897|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Mammalia Linnaeus, 1758","Carnivora Bowdich, 1821","Mustelidae G. Fischer von Waldheim, 1817","Martes Pinel, 1792"
"Martes foina bunites","","7KB2W","7KB2W","3Y9VW","Martes foina bunites (Bate, 1906)","Martes foina bunites","(Bate, 1906)","accepted","Martes foina bunites (Bate, 1906)","SPECIES:Martes foina (Erxleben, 1777)|GENUS:Martes Pinel, 1792|SUBFAMILY:Guloninae Gray, 1825|FAMILY:Mustelidae G. Fischer von Waldheim, 1817|SUBORDER:Caniformia Kretzoi, 1938|ORDER:Carnivora Bowdich, 1821|INFRACLASS:Eutheria Gill, 1872|SUBCLASS:Theria Parker & Haswell, 1897|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Mammalia Linnaeus, 1758","Carnivora Bowdich, 1821","Mustelidae G. Fischer von Waldheim, 1817","Martes Pinel, 1792"
"Martes foina foina","","BNMYZ","BNMYZ","3Y9VW","Martes foina foina (Erxleben, 1777)","Martes foina foina","(Erxleben, 1777)","accepted","Martes foina foina (Erxleben, 1777)","SPECIES:Martes foina (Erxleben, 1777)|GENUS:Martes Pinel, 1792|SUBFAMILY:Guloninae Gray, 1825|FAMILY:Mustelidae G. Fischer von Waldheim, 1817|SUBORDER:Caniformia Kretzoi, 1938|ORDER:Carnivora Bowdich, 1821|INFRACLASS:Eutheria Gill, 1872|SUBCLASS:Theria Parker & Haswell, 1897|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Mammalia Linnaeus, 1758","Carnivora Bowdich, 1821","Mustelidae G. Fischer von Waldheim, 1817","Martes Pinel, 1792"
"Martes martes minoricensis","","BNMZD","BNMZD","3Y9W2","Martes martes minoricensis Alcover, Delibes, Gosálbez & Nadal, 1987","Martes martes minoricensis","Alcover, Delibes, Gosálbez & Nadal, 1987","accepted","Martes martes minoricensis Alcover, Delibes, Gosálbez & Nadal, 1987","SPECIES:Martes martes (Linnaeus, 1758)|GENUS:Martes Pinel, 1792|SUBFAMILY:Guloninae Gray, 1825|FAMILY:Mustelidae G. Fischer von Waldheim, 1817|SUBORDER:Caniformia Kretzoi, 1938|ORDER:Carnivora Bowdich, 1821|INFRACLASS:Eutheria Gill, 1872|SUBCLASS:Theria Parker & Haswell, 1897|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Mammalia Linnaeus, 1758","Carnivora Bowdich, 1821","Mustelidae G. Fischer von Waldheim, 1817","Martes Pinel, 1792"
"Mauremys caspica","","3YFW8","3YFW8","CDK9M","Mauremys caspica (Gmelin, 1774)","Mauremys caspica","(Gmelin, 1774)","accepted","Mauremys caspica (Gmelin, 1774)","GENUS:Mauremys|FAMILY:Geoemydidae|SUPERFAMILY:Testudinoidea|SUBORDER:Cryptodira|ORDER:Testudines|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Testudines","Geoemydidae","Mauremys"
"Meles meles","","3ZDRX","3ZDRX","5NNN","Meles meles (Linnaeus, 1758)","Meles meles","(Linnaeus, 1758)","accepted","Meles meles (Linnaeus, 1758)","GENUS:Meles Brisson, 1762|SUBFAMILY:Melinae Bonaparte, 1838|FAMILY:Mustelidae G. Fischer von Waldheim, 1817|SUBORDER:Caniformia Kretzoi, 1938|ORDER:Carnivora Bowdich, 1821|INFRACLASS:Eutheria Gill, 1872|SUBCLASS:Theria Parker & Haswell, 1897|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Mammalia Linnaeus, 1758","Carnivora Bowdich, 1821","Mustelidae G. Fischer von Waldheim, 1817","Meles Brisson, 1762"
